HIP	Cst	Bayer
29450	Gem	BU   
29434	Ori	f01  
29426	Ori	ksi  
29730	Cam	     
29276	Pic	del  
29919	Lyn	     
29655	Gem	eta  
29696	Aur	kap  
29650	Ori	     
29134	Dor	nu.  
29704	Ori	f02  
29651	Mon	gam  
29884	Aur	     
29736	Ori	     
29789	Gem	     
30060	Lyn	     
29949	Aur	     
29840	Gem	     
29800	Ori	k    
29353	Dor	eta02
29850	Ori	l    
30003	Gem	     
30278	Lyn	     
29885	Mon	     
29807	Col	kap  
30272	Lyn	     
30046	Gem	     
29271	Men	alf  
30049	Gem	     
30247	Aur	     
30073	Mon	     
30122	CMa	zet  
30343	Gem	mu.  
30520	Aur	psi01
      	Mon	V    
30651	Lyn	RR   
30679	Lyn	     
30324	CMa	bet  
30277	Col	del  
30419	Mon	eps  
30422	Mon	eps  
30564	Ori	BL   
30541	Mon	T    
30342	Pic	nu.  
30438	Car	alf  
30757	Gem	     
30769	Gem	     
31039	Lyn	     
30827	Aur	RT   
30717	Ori	     
30700	Mon	     
30720	Ori	     
30972	Aur	     
30883	Gem	nu.  
30772	Mon	     
30591	Pup	G    
30321	Dor	pi.01
30867	Mon	bet  
      	Mon	bet  
      	Mon	bet  
30788	CMa	lam  
31105	Gem	     
31173	Aur	WW   
31359	Lyn	     
30565	Dor	pi.02
31158	Gem	     
31159	Mon	     
31216	Mon	     
31125	CMa	ksi01
30932	Pic	     
31676	Lyn	     
31434	Aur	     
31665	Lyn	     
31385	Mon	     
31579	Aur	UU   
31525	Gem	     
31137	Pic	mu.  
31416	CMa	ksi02
31771	Aur	     
31789	Aur	psi03
31681	Gem	gam  
31564	CMa	nu.01
31737	Aur	     
31832	Aur	psi02
31592	CMa	nu.02
31407	Car	N    
31852	Aur	     
31700	CMa	nu.03
31685	Pup	nu.  
32019	Gem	     
31978	Mon	S    
32173	Aur	psi04
31765	Pup	Y    
32104	Gem	     
32438	Lyn	     
32246	Gem	eps  
32489	Lyn	     
32249	Gem	     
32311	Gem	     
32480	Aur	psi05
32362	Gem	ksi  
32562	Aur	psi06
32404	Gem	     
32864	Cam	     
32349	CMa	alf  
32292	CMa	     
32463	Mon	     
32533	Mon	     
32492	CMa	     
32578	Mon	     
32504	CMa	     
33104	Cam	     
32844	Aur	psi07
32537	Pup	x    
32753	Gem	     
33048	Lyn	     
      	Lyn	     
32814	Gem	     
32531	Car	O    
32921	Gem	d    
32759	CMa	kap  
33041	Aur	     
33018	Gem	the  
33064	Aur	     
33133	Aur	psi08
32765	Pup	X    
32607	Pic	alf  
32768	Pup	tau  
32761	Car	A    
31897	Men	zet  
33449	Lyn	     
33202	Gem	e    
33377	Aur	psi09
33277	Gem	     
33092	CMa	     
33160	CMa	the  
33152	CMa	omi01
33485	Lyn	     
33248	CMa	     
33302	CMa	pi.  
33345	CMa	mu.  
33347	CMa	iot  
33614	Aur	     
33595	Gem	     
32912	Vol	iot  
33650	Gem	     
33715	Gem	     
33579	CMa	eps  
33558	Pup	t    
33927	Gem	ome  
33856	CMa	sig  
33971	Mon	     
34088	Gem	zet  
33779	Car	     
33977	CMa	omi02
34045	CMa	gam  
34182	Gem	     
34572	Lyn	     
34081	Pup	C    
      	Gem	R    
34059	Pup	H    
34440	Gem	     
33384	Men	the  
